id,group,avg_bout_length_sec_drink,avg_bout_length_sec_food motivated,avg_bout_length_sec_groom,avg_bout_length_sec_move/explore,avg_bout_length_sec_move/explore - shelter,avg_bout_length_sec_rest/groom in shelter,max_bout_length_sec_drink,max_bout_length_sec_food motivated,max_bout_length_sec_groom,max_bout_length_sec_move/explore,max_bout_length_sec_move/explore - shelter,max_bout_length_sec_rest/groom in shelter,n_bouts_drink,n_bouts_food motivated,n_bouts_groom,n_bouts_move/explore,n_bouts_move/explore - shelter,n_bouts_rest/groom in shelter
1789,orfo,7.329411764705883,11.60888888888889,8.569230769230769,26.93041420118343,1.7846666666666666,4.07438596491228,16.4,49.28,61.92,283.08,5.72,27.08,17.0,54.0,65.0,169.0,60.0,57.0
1789,saline_orfo,6.6923076923076925,10.775304347826086,11.324137931034484,27.026771653543307,1.9298039215686273,4.05504,13.32,50.32,61.52,247.96,8.08,42.28,26.0,115.0,58.0,127.0,102.0,125.0
1790,LiCl,8.592727272727272,11.0525,4.3566666666666665,8.6,1.8597701149425288,45.58176,16.6,65.24,9.96,52.88,4.32,1002.68,11.0,32.0,12.0,47.0,87.0,125.0
1790,orfo,6.394285714285714,8.265714285714285,4.314285714285714,45.501728395061726,1.6571428571428573,24.554947368421054,28.56,49.08,10.76,232.44,4.36,677.4,21.0,28.0,21.0,81.0,70.0,95.0
1790,saline_licl,7.1753846153846155,16.29,2.88,38.800444444444445,2.088188976377953,12.147045454545456,22.6,48.68,5.0,193.08,7.44,674.84,26.0,36.0,7.0,90.0,127.0,176.0
1790,saline_orfo,9.76421052631579,14.29,2.42,60.13518987341772,1.7035897435897436,10.320808080808082,21.44,46.32,2.8,292.68,5.12,60.0,19.0,48.0,2.0,79.0,78.0,99.0
1836,orfo,5.09578947368421,11.206842105263158,5.972830188679245,18.481714285714286,1.613217391304348,11.835,11.8,83.84,18.28,110.8,4.6,72.56,38.0,76.0,53.0,140.0,115.0,136.0
1836,saline_orfo,4.969032258064516,13.220666666666666,6.272452830188679,10.201428571428572,1.6362616822429907,16.625531914893617,12.88,89.2,28.68,61.24,2.88,314.72,31.0,120.0,53.0,112.0,107.0,141.0
1837,orfo,6.026666666666666,13.274545454545455,5.841428571428571,43.95547826086957,1.7939130434782609,11.08156862745098,20.32,128.2,20.96,276.32,5.24,66.28,21.0,44.0,28.0,115.0,46.0,51.0
1837,saline_orfo,6.5360000000000005,16.722,4.113333333333333,41.508148148148145,1.6677551020408163,18.29074626865672,22.0,122.16,6.24,254.68,3.92,107.92,30.0,40.0,6.0,108.0,49.0,67.0
2782,orfo,7.212173913043479,9.822222222222221,6.187628865979382,34.34311926605505,1.6881818181818182,15.6,12.36,34.04,20.8,275.2,4.68,68.08,23.0,45.0,97.0,109.0,44.0,63.0
2782,saline_orfo,9.377777777777778,17.962388059701492,9.393684210526315,29.286511627906975,1.704,21.4725,33.12,86.6,164.36,235.44,3.52,194.76,27.0,67.0,95.0,86.0,45.0,48.0
2784,orfo,12.32857142857143,18.961176470588235,4.75764705882353,43.29833333333333,1.774468085106383,11.017575757575758,31.04,147.56,14.72,338.08,4.68,75.32,14.0,68.0,17.0,96.0,47.0,66.0
2784,saline_orfo,9.018461538461539,6.290526315789474,9.534117647058823,55.54526315789473,1.8555555555555554,9.883,21.72,18.52,46.52,437.68,5.6,48.92,13.0,38.0,51.0,95.0,36.0,40.0
2785,orfo,7.904827586206896,27.557368421052633,5.0445714285714285,22.57179487179487,2.1258536585365855,43.12489795918367,18.04,166.88,15.64,304.56,6.56,461.6,29.0,76.0,35.0,78.0,41.0,49.0
